,by,descendants,id,kids,score,time,title,type,url
0,tosh,415.0,38544746,"[38545044, 38547323, 38546562, 38545663, 38545430, 38546464, 38546447, 38545012, 38547301, 38546275, 38545245, 38545654, 38544877, 38547079, 38546046, 38547204, 38544957, 38545429, 38545375, 38545081, 38545068, 38545050, 38544821, 38546963, 38546384, 38547001, 38546054, 38547217, 38546006, 38545220, 38545161, 38544997, 38545326, 38547028, 38547145, 38545848, 38546590, 38545982, 38547019, 38546477, 38547054, 38547173, 38546388, 38545159, 38545073, 38546241, 38545103, 38546036, 38544994, 38546463, 38545057, 38546356, 38547052, 38546256, 38545551, 38546928, 38546566, 38546559, 38544863, 38545669, 38545609, 38545030, 38546719, 38545971, 38547185, 38544969, 38544951, 38546405, 38545955, 38546226, 38545168, 38547109, 38544896, 38545069, 38545898, 38547056, 38545466, 38546428, 38545750, 38544929, 38545233, 38545494, 38545089, 38546064, 38545311, 38545082, 38545254, 38546379, 38545127, 38544943, 38545172, 38545009, 38546084, 38545889, 38545021, 38545713, 38545129, 38544979, 38545231, 38545991, 38545403, 38544901, 38545325, 38544831, 38545801, 38545058]",714,1701875118,Gemini: Google's most capable AI model yet,story,https://blog.google/technology/ai/google-gemini-ai/
1,dmotz,110.0,38544729,"[38545113, 38545010, 38545203, 38546159, 38547222, 38546344, 38545018, 38545007, 38546113, 38545810, 38544941, 38545516, 38546095, 38544940, 38545095, 38547029, 38545572, 38547013, 38544939, 38545179, 38545330, 38547044, 38545389, 38546775, 38544989, 38546937, 38546138, 38545604, 38546631, 38545123, 38545932, 38545001]",342,1701875027,Gemini – Google DeepMind,story,https://deepmind.google/technologies/gemini/
2,treesciencebot,20.0,38544824,"[38545640, 38546174, 38547229, 38545581, 38545148]",102,1701875446,Enabling next-generation AI workloads: Announcing TPU v5p and AI Hypercomputer,story,https://cloud.google.com/blog/products/ai-machine-learning/introducing-cloud-tpu-v5p-and-ai-hypercomputer
3,tosh,69.0,38543229,"[38545555, 38546010, 38544881, 38544537, 38546605, 38543593, 38544223, 38544144, 38544326, 38544773, 38543989, 38543752, 38544031, 38545939, 38545116]",181,1701867509,Mold Course,story,https://www.epa.gov/mold/mold-course-introduction
4,swiftlyTyped,15.0,38545207,"[38547105, 38546353, 38545350, 38545386, 38545337, 38545291, 38545504, 38545208, 38547088]",50,1701876941,Show HN: CopilotKit- Build in-app AI chatbots and AI-powered Textareas,story,https://github.com/CopilotKit/CopilotKit
5,shaiber,28.0,38545538,"[38546556, 38546980, 38547085, 38547055, 38546460, 38546642, 38545992, 38546553, 38546888, 38545751, 38545596, 38545951]",43,1701878190,Show HN: Winglang – a new Cloud-Oriented programming language,story,https://github.com/winglang/wing
6,marban,203.0,38543587,"[38545958, 38547278, 38546251, 38544639, 38544182, 38545579, 38543792, 38544057, 38545774, 38546293, 38543709, 38544294, 38546357, 38545837, 38545515, 38544903, 38544644, 38544758, 38544093, 38543749, 38544050, 38543843, 38545458, 38543741, 38544747]",500,1701869373,Apple Confirms Governments Using Push Notifications to Surveil Users,story,https://www.macrumors.com/2023/12/06/apple-governments-surveil-push-notifications/
7,iliabara,,38546478,,1,1701882067,Polymath Robotics (YC S22) Is Hiring Robotics Safety Engineer – San Francisco,job,https://www.ycombinator.com/companies/polymath-robotics/jobs/5icOcQK-robotics-safety-engineer-in-san-francisco
8,coloneltcb,7.0,38546520,"[38546966, 38547086, 38547116]",18,1701882207,Spotlight: Sentry for Development,story,https://spotlightjs.com/
9,edward,0.0,38546121,,9,1701880441,Flickypedia helps you put Flickr photos on Wikimedia Commons,story,https://www.flickr.org/tools/flickypedia/
